label,n_windows,median_mahalanobis,min_mahalanobis_pvalue,outlier_rate_p05,median_robust_l2,median_max_abs_z,median_nearest_feature_distance,median_nearest_feature_pvalue,median_exact_row_match_fraction,median_nearest_raw_window_rms
adversarial_block_gan_best_5y_1260,1,0.49948606836142734,0.29906542056074764,0.0,0.9054813848250944,1.8243976576281522,0.2983586141584175,0.9735202492211839,0.0,0.8325789052747531
mcgan_5y_1260_rankmap,1,1.0290442389322287,0.003115264797507788,1.0,1.0319091674393606,3.677913987352601,0.6753421150278535,0.9984423676012462,0.0,1.2586709852637499
mcgan_5y_1260,1,7.9405388353240145,0.0,1.0,0.7839955263514096,3.770282051282051,0.9490358608887203,0.9984423676012462,0.0,1.0389366982327946
