sp500,DGS10
-0.000901157654079,-0.04
0.003117608773625,-0.04
-0.0073393172681174,-0.03
0.0130906529852919,-0.07
0.0039182019880796,-0.01
0.0043136473142148,-0.03
-0.0012184843890735,-0.03
0.0005911195680646,-0.03
0.0003652376243473,-0.09
0.0049684502906696,-0.01
0.0041999370541031,-0.01
0.0116748958268015,-0.03
0.0026017625883942,0.04
0.0031485609038183,0.04
-0.0015757625440602,-0.01
-0.0011438041591014,0.04
0.0045316102802277,0.02
0.0022092546657931,0.04
-0.0028658406035715,0.06
0.000503888986306,-0.02
-0.003363075487176,0.01
-0.0030420552156461,0.02
0.0113234813684682,-0.09
0.0029543114255966,-0.05
-0.001566823491049,0.03
0.0101753961978116,0.08
-0.0035181927516397,0.0
-0.0009631043757698,-0.04
0.0011660664894128,0.06
-0.0084916647607933,-0.03
-0.0151281121864896,0.07
0.0053513849973381,0.04
0.009620484184023,0.05
-0.0052188029797542,-0.0
-0.0025883424533197,-0.02
0.0121306158394268,0.06
0.0030971783443057,0.08
0.0025745179077403,-0.06
0.0190604475026203,0.05
0.0022219745232488,-0.03
0.011595780499499,-0.08
0.0063852187818354,-0.06
-0.008096785017039,-0.01
0.0013771084471644,0.11
-0.0066546110273836,-0.05
-0.001815104054279,0.07
0.0134967212508453,-0.09
-0.0040490267473946,0.2
0.0128921067410364,-0.05
0.013661388759491,-0.08
-0.0029494516779443,-0.06
-0.0178981876185957,0.1
0.0255670282327256,-0.16
0.0115643723188704,-0.07
-0.0175608198934515,-0.02
-0.0056267250637745,-0.13
0.0025382397885938,-0.04
0.0099925902815193,0.15
0.0130731361854639,-0.08
0.0041119522124537,-0.07
0.0037778739473366,-0.05
0.0133744371062761,-0.12
0.00323310810743,-0.07
-0.0001869705381392,-0.09
-0.0090408084079528,-0.07
-0.000744753995877,-0.16
0.0072006536651469,0.03
0.0052754566588135,-0.05
-0.0112398423529039,-0.12
0.0093469720571293,0.09
-0.0041602683966614,-0.04
0.02145238755381,-0.15
-0.0034467045534894,-0.03
-0.0001513634059303,0.11
-0.0039185843124709,0.03
0.002922032164892,-0.08
0.0014208806251474,-0.02
0.0038850204318016,0.07
0.0032913217639613,-0.01
-0.0043963086806228,0.03
0.0054906210753282,-0.03
0.0050354439881051,0.02
