label,window_id,source_path,start,end,robust_l2,robust_l2_pvalue,max_abs_z,mahalanobis,mahalanobis_pvalue,nearest_feature_distance,nearest_feature_pvalue,exact_row_match_fraction,nearest_raw_window_rms,nearest_raw_window_start
hashimoto_round001,hashimoto_round001_0000,reports/adversarial/dgs10_tick_ablation/rounded_inputs/hashimoto_round001.csv,0,1259,1.13785942469607,0.3629283489096573,4.481134308971685,1.305917654375705,0.001557632398753894,1.0366558589679922,0.9984423676012462,0.0,0.844924832255063,315
makieda_round001,makieda_round001_0000,reports/adversarial/dgs10_tick_ablation/rounded_inputs/makieda_round001.csv,0,1259,0.6402458502299172,0.9968847352024922,2.064865458605982,0.8972715127420507,0.003115264797507788,0.7386661449333366,0.9984423676012462,0.0,1.149574864022869,325
murayama_round001,murayama_round001_0000,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,0,1259,1.2688197963486914,0.2601246105919003,5.319031618317239,1.4456098122649252,0.001557632398753894,1.19719039732895,0.9984423676012462,0.023809523809523808,1.2117529408806134,17
murayama_round001,murayama_round001_0001,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,1260,2519,0.9115192647116166,0.6542056074766355,2.890714285714286,1.1984140997147321,0.001557632398753894,0.9870017572712333,0.9984423676012462,0.024603174603174603,1.2064281896627687,1277
murayama_round001,murayama_round001_0002,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,2520,3779,1.9031984562736375,0.11059190031152648,9.729951571428488,1.6355698013543523,0.001557632398753894,1.3149218341760336,0.9984423676012462,0.02619047619047619,1.5068503577085373,96
murayama_round001,murayama_round001_0003,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,3780,5039,3.4832885091280974,0.001557632398753894,17.934379844961217,2.824720338280775,0.0,2.137275304180457,1.0,0.01507936507936508,1.8737326417481799,463
murayama_round001,murayama_round001_0004,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,5040,6299,1.97811516626586,0.07476635514018691,6.758321374999996,1.4601638212273287,0.001557632398753894,1.4239342978382088,0.9984423676012462,0.020634920634920634,1.6535108169479729,577
murayama_round001,murayama_round001_0005,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,6300,7559,1.3282427761072597,0.24299065420560748,9.720730669216591,1.2493857334894516,0.001557632398753894,1.0906729636707988,0.9984423676012462,0.02619047619047619,1.1741353260457608,440
murayama_round001,murayama_round001_0006,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,7560,8819,1.6270448390181376,0.16666666666666666,5.129891691001874,1.383674282951393,0.001557632398753894,1.233982405581732,0.9984423676012462,0.009523809523809525,1.4844866718004248,635
murayama_round001,murayama_round001_0007,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,8820,10079,0.8458970633801657,0.7445482866043613,2.5868792638694775,1.0437058185603925,0.003115264797507788,0.6747828613330223,0.9984423676012462,0.02857142857142857,1.2156988751896844,471
murayama_round001,murayama_round001_0008,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,10080,11339,2.0183923053067634,0.07009345794392523,6.2730817029410755,1.695828462053296,0.0,1.1485870110023422,0.9984423676012462,0.016666666666666666,1.68361994851609,607
murayama_round001,murayama_round001_0009,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,11340,12599,0.8317337993784825,0.7819314641744548,2.362688833428937,0.9323907966618782,0.003115264797507788,0.7333314997431126,0.9984423676012462,0.03492063492063492,1.030944145150062,11357
murayama_round001,murayama_round001_0010,reports/adversarial/dgs10_tick_ablation/rounded_inputs/murayama_round001.csv,12600,13859,2.9665350379689004,0.001557632398753894,30.227996590419355,3.0176635400912177,0.0,2.479350823680117,1.0,0.023015873015873017,1.3912454312007063,327
