label,n_windows,median_mahalanobis,min_mahalanobis_pvalue,outlier_rate_p05,median_robust_l2,median_max_abs_z,median_nearest_feature_distance,median_nearest_feature_pvalue,median_exact_row_match_fraction,median_nearest_raw_window_rms,dgs10_tick_fraction_before,dgs10_tick_fraction_after
real_sample_5_windows,5,0.477290092994127,0.0778816199376947,0.0,1.0597152003800043,3.3972000340262287,0.04901236940009302,0.048286604361370715,1.0,0.0,1.0,1.0
block_generator,1,0.49948606836142734,0.29906542056074764,0.0,0.9054813848250944,1.8243976576281522,0.2983586141584175,0.9735202492211839,0.0,0.8325789052747531,,
makieda_round001,1,0.8972715127420507,0.003115264797507788,1.0,0.6402458502299172,2.064865458605982,0.7386661449333366,0.9984423676012462,0.0,1.149574864022869,0.0,1.0
hashimoto_round001,1,1.305917654375705,0.001557632398753894,1.0,1.13785942469607,4.481134308971685,1.0366558589679922,0.9984423676012462,0.0,0.844924832255063,0.0,1.0
murayama_round001,11,1.4456098122649252,0.0,1.0,1.6270448390181376,6.2730817029410755,1.19719039732895,0.9984423676012462,0.023809523809523808,1.3912454312007063,0.00013591573224600747,1.0
setsu1_round001,1,1.5932358200643786,0.001557632398753894,1.0,1.4513080590925533,5.574838857142835,1.2881956989903323,0.9984423676012462,0.0,1.3157040180345598,0.0,1.0
quantgan_round001,1,1.6817748431266935,0.0,1.0,1.692159253859116,13.190909136198735,1.2481685974270602,0.9984423676012462,0.0,1.211874827533138,0.0,1.0
mps_mcgan_20k_round001,1,1.6832227838773894,0.0,1.0,1.4668447883863216,7.406784497375918,1.382316395139068,0.9984423676012462,0.0,0.885755256074326,0.0,1.0
setsu2_round001,1,1.6981618162602476,0.0,1.0,1.3847514007282196,7.563967802966981,1.2940174364635832,0.9984423676012462,0.0,1.2112687875901667,0.0,1.0
old_mcgan_round001,1,9.798929907076433,0.0,1.0,11.082363306341762,53.44017488728719,10.069906451049834,1.0,0.0,3.5103849799527906,0.0,1.0
