label,window_id,source_path,start,end,robust_l2,robust_l2_pvalue,max_abs_z,mahalanobis,mahalanobis_pvalue,nearest_feature_distance,nearest_feature_pvalue,exact_row_match_fraction,nearest_raw_window_rms,nearest_raw_window_start
hashimoto,hashimoto_0000,data/generated_by_teammates/hashimoto.csv,0,1259,1.1494979565389696,0.35514018691588783,4.481134308971685,8.024220667232477,0.0,1.1003752539139462,0.9984423676012462,0.0,0.8441362790443443,315
makieda,makieda_0000,data/generated_by_teammates/makieda.csv,0,1259,0.7414821373777009,0.9190031152647975,3.770282051282051,7.931714497759164,0.0,0.8390055590337029,0.9984423676012462,0.0,1.147998935451469,325
murayama,murayama_0000,data/generated_by_teammates/murayama.csv,0,1259,1.3249747465133344,0.24299065420560748,5.330863656834878,8.007053804538986,0.0,1.2179167593095872,0.9984423676012462,0.0,1.2301076534337125,80
murayama,murayama_0001,data/generated_by_teammates/murayama.csv,1260,2519,0.9990252897623803,0.5545171339563862,3.770282051282051,7.976069705997189,0.0,1.0359529045191134,0.9984423676012462,0.0,1.2248109974954877,270
murayama,murayama_0002,data/generated_by_teammates/murayama.csv,2520,3779,1.933102590456021,0.08722741433021806,9.657262672114204,8.03833058908495,0.0,1.3369086852027936,0.9984423676012462,0.0,1.5204875721077822,335
murayama,murayama_0003,data/generated_by_teammates/murayama.csv,3780,5039,3.515917536010138,0.001557632398753894,17.869051644186012,8.333387445352596,0.0,2.1411287547151,1.0,0.0,1.885966595878382,480
murayama,murayama_0004,data/generated_by_teammates/murayama.csv,5040,6299,2.0352913021580705,0.06697819314641744,6.780933009474996,7.998820324171654,0.0,1.4384381176784098,0.9984423676012462,0.0,1.6676397564055827,445
murayama,murayama_0005,data/generated_by_teammates/murayama.csv,6300,7559,1.3668316727087109,0.2336448598130841,9.720730669216591,7.970030401379738,0.0,1.1501764040883982,0.9984423676012462,0.0,1.1735262327621958,440
murayama,murayama_0006,data/generated_by_teammates/murayama.csv,7560,8819,1.6720324507780993,0.1542056074766355,5.129891691001874,7.983908676167244,0.0,1.283178985773225,0.9984423676012462,0.0,1.483487038517514,635
murayama,murayama_0007,data/generated_by_teammates/murayama.csv,8820,10079,0.9298611729656305,0.6401869158878505,3.770282051282051,7.943946968151807,0.0,0.7911668888719652,0.9984423676012462,0.0,1.2160942187492079,370
murayama,murayama_0008,data/generated_by_teammates/murayama.csv,10080,11339,2.0569699166701505,0.06386292834890965,6.2730817029410755,8.049313447042225,0.0,1.1912861979677558,0.9984423676012462,0.0,1.6997023905066175,260
murayama,murayama_0009,data/generated_by_teammates/murayama.csv,11340,12599,0.902638413051832,0.6635514018691588,3.770282051282051,7.929586222858858,0.0,0.8304666167014617,0.9984423676012462,0.0,1.047116188548528,525
murayama,murayama_0010,data/generated_by_teammates/murayama.csv,12600,13859,2.987368531958628,0.001557632398753894,30.227996590419355,8.429203209575624,0.0,2.5066395900294784,1.0,0.0,1.411439499373682,595
setsu1,setsu1_0000,data/generated_by_teammates/setsu1.csv,0,1259,1.4988865152393172,0.21651090342679127,5.527623115578263,8.022822289806673,0.0,1.2786660058340553,0.9984423676012462,0.0,1.3268802238869906,420
setsu2,setsu2_0000,data/generated_by_teammates/setsu2.csv,0,1259,2.7699929015626172,0.001557632398753894,12.184687488495978,8.611729052013374,0.0,2.332817909424019,1.0,0.0,0.9347996123912917,540
quantgan_5y_1260,quantgan_5y_1260_0000,data/generated/QuantGAN/quantgan_5y_1260.csv,0,1259,3.0076109747234825,0.001557632398753894,13.190909136198735,8.651910662674448,0.0,2.5757790668209646,1.0,0.0,0.9977335052738346,480
mcgan_5y_1260,mcgan_5y_1260_0000,data/generated/SigWGANandBeyond/MCGAN/mcgan_5y_1260.csv,0,1259,11.099665467961577,0.0,53.44017488728719,12.5359846823265,0.0,10.085132288914826,1.0,0.0,3.510612864666255,690
mcgan_5y_1260,mcgan_5y_1260_0000,data/generated/SigWGANandBeyond_aux/MCGAN/mcgan_5y_1260.csv,0,1259,1.4988865152393172,0.21651090342679127,5.527623115578263,8.022822289806673,0.0,1.2786660058340553,0.9984423676012462,0.0,1.3268802238869906,420
