trial,objective,block_mean,block_min,block_max,noise_scale,sp500_noise_floor,dgs10_noise_multiplier,scale_jitter,mean_jitter,regime_radius,continuation_prob,tail_prob,dgs10_tick,profile,feature_mean_gap,feature_std_gap,feature_energy_distance,median_mahalanobis,median_robust_l2,min_mahalanobis_pvalue,outlier_rate_p05,median_nearest_feature_distance
33,8.100200284077113,126,5,126,0.009264337344563264,1.5054683891985551e-06,0.35,0.0019043086274097899,0.06560096522882178,126,0.8403339256014136,0.0,0.01,balanced,0.46466793357711933,0.47482002365293546,0.1614564954404687,1.00120239591168,1.188927987469159,0.0,0.8333333333333334,0.6184044818432652
26,8.159002234729677,126,2,126,0.009931806798363077,3.0645853642685946e-05,0.05,0.020324072116808724,0.03193335011486518,2520,0.7298392723321457,0.0005,0.01,balanced,0.30442872234101676,0.3235133186460088,0.09589802739265418,0.9216550876990859,1.1105559419997082,0.001557632398753894,0.875,0.5711589597280292
22,8.586424409410585,63,3,126,0.001660371758727833,6.42642872066617e-06,0.35,0.056798122483504423,0.026833144636822872,2520,0.7617025932054291,0.0005,0.01,balanced,0.34133822264097596,0.3087534314064155,0.11300529952679739,1.1290950114229799,1.2062165094127293,0.0,0.9166666666666666,0.7463983560126095
32,9.116723391583008,126,2,252,0.009978770707902289,1.7489895252794183e-06,0.2,0.08576729044005733,0.04211203898942724,2520,0.05003008529696177,0.0005,0.01,balanced,0.2544550669498028,0.32467937523599477,0.10059539852345378,0.9846593432210621,1.0468535564846864,0.001557632398753894,1.0,0.7249783091199675
57,9.156696509664739,126,5,126,0.0017751407723841431,6.495001065241625e-05,0.05,0.06594864251186745,0.05435142515657237,252,0.8291815841070016,0.0005,0.01,balanced,0.26416918508179305,0.3822191738725352,0.08374579638951052,0.9295116881360976,1.1410510326302354,0.0,1.0,0.5571085696586675
6,9.200889469838152,63,3,63,0.00218057846351865,9.981266954189595e-06,0.0,0.05773793976970546,0.001127141725638814,1260,0.5336742394270642,0.0,0.01,balanced,0.3130022153789528,0.3777119514274442,0.10019087902246504,0.9953156815933714,1.022941560384625,0.001557632398753894,1.0,0.6785133449511155
37,9.260660087124691,40,2,40,0.033735032139281515,1.6101848538546265e-06,0.1,0.06487647940573335,0.13285062219811164,1260,0.8347928361153784,0.0,0.01,balanced,0.32302174274241136,0.467730599607246,0.10269310955235489,1.032858848240786,1.056228812207531,0.001557632398753894,1.0,0.7036154912112067
58,9.268481957800123,63,5,63,0.04885807030466682,5.095893108427819e-06,0.05,0.06670070471067924,0.13519559665897687,1260,0.3659229599691242,0.0005,0.01,balanced,0.3534131560793807,0.3314934867679636,0.12931247485212527,1.1579016885597229,1.1402759821315214,0.001557632398753894,1.0,0.7517975359524514
4,9.308322421606425,10,5,20,0.016901012039650515,3.3182135336258478e-06,0.0,0.0807591479928358,0.050442757219000114,2520,0.6452917082103677,0.0005,0.01,balanced,0.36423856662200577,0.4175131539413741,0.147210319642064,1.1345968530873418,1.0541519938528219,0.001557632398753894,1.0,0.8557724395439118
19,9.362346940897261,63,5,126,0.04894486354553069,3.590804353127032e-05,0.05,0.03523966504355545,0.08095653789451417,504,0.5818005055856206,0.0,0.01,balanced,0.42894245393717195,0.377446586876398,0.16002460623473858,1.0869003886917632,1.1974222210077188,0.001557632398753894,1.0,0.6897033953071476
11,9.381474511893764,40,5,40,0.0025164296212016385,1.065341308589048e-06,0.0,0.046500789447016216,0.17100045333868774,1260,0.28041772389127456,0.002,0.01,balanced,0.45502440197821636,0.36131962694721165,0.18825665245542833,1.1287271258920026,1.0603322034017935,0.001557632398753894,1.0,0.7848523976772566
54,9.415942539730157,63,3,252,0.013071167753610915,1.3355303462910257e-05,0.1,0.08817301034971209,0.00317793419456216,2520,0.1375600077129788,0.002,0.01,balanced,0.48529496818600365,0.37266127098999374,0.20601402555927772,1.0975605068126741,0.9887462710788023,0.001557632398753894,1.0,0.8606460521137601
20,9.434897598041676,10,3,63,0.0011283719747298398,1.8393019885376556e-06,0.2,0.011880305339178821,0.09559470559979627,1260,0.7957985567036102,0.002,0.01,balanced,0.46901895023228246,0.451439650143322,0.1871485247539404,1.1092678221858,1.0902123407731463,0.001557632398753894,1.0,0.7601173553707703
18,9.436247069912207,15,2,40,0.0031381066752631708,4.79098350649321e-06,0.05,0.0818310393674801,0.12665127324592093,2520,0.6624972184340252,0.001,0.01,balanced,0.4546928416014822,0.40280194071816305,0.18910937382623727,1.2097605082209995,1.167472824059437,0.0,1.0,0.9380125641220667
60,9.45702756340062,63,3,63,0.008121987888782193,3.6905336960875255e-06,0.1,0.014168509741579995,0.14874814122141863,13474,0.703464059782773,0.001,0.01,balanced,0.4498816410430998,0.47052908487410705,0.1929541225010849,1.2128198962172276,1.1048093424835017,0.0,1.0,0.9373537165893224
7,9.504044110140349,126,5,126,0.005072710401362622,2.152517375583876e-06,0.35,0.014886546462069827,0.15520378594203735,13474,0.38388157773586123,0.001,0.01,balanced,0.48524872218426196,0.48430904167016325,0.21880384489008398,1.2366826553530559,1.0598692298372572,0.0,1.0,0.9569500576830756
