from_regime,highvol_negcorr,highvol_poscorr,lowvol_negcorr,lowvol_poscorr
highvol_negcorr,0.9938534278959811,0.0014184397163120568,0.00425531914893617,0.00047281323877068556
highvol_poscorr,0.0024096385542168677,0.9855421686746988,0.0012048192771084338,0.010843373493975903
lowvol_negcorr,0.0027210884353741495,0.00027210884353741496,0.9923809523809524,0.004625850340136055
lowvol_poscorr,0.00012301636117603641,0.0009841308894082913,0.0022142945011686555,0.996678558248247
