model,mu,omega,alpha,beta,gamma,loglikelihood,aic,bic,nu,series
garch,0.0002478471899160672,3.139981701138505e-06,0.05003175401138108,0.9005715612177797,0.0,48748.77586099887,-97487.55172199773,-97449.56215686152,5.968012091018968,sp500_return
gjr_garch,0.0004891665822775703,1.7066953791228704e-06,0.05008244989132666,0.9014841337381868,0.050082452011260006,49092.027781714794,-98172.05556342959,-98126.46808526613,6.58088153161008,sp500_return
egarch,0.0003146504683046016,-12.098825940857115,0.05,0.9,-0.05,-130585927666.72058,261171855345.44116,261171855391.02863,4.109633284739914,sp500_return
garch,0.000175594894069384,7.408697241911384e-07,0.050166033863725,0.9029886621398002,0.0,58590.043132990104,-117170.08626598021,-117132.09670084399,6.575809950491854,bond_return_proxy
gjr_garch,6.025958092204049e-05,4.2200408935752043e-07,0.05005827644924499,0.9010489959346871,0.050058277613497085,58846.38356982685,-117680.7671396537,-117635.17966149024,7.127014109544474,bond_return_proxy
egarch,-0.0013884128475453192,-12.848827643780467,0.04870498180665485,0.9025641314205013,-0.0357547630921986,-26941571965.7155,53883143943.431,53883143989.01848,4.177544106437081,bond_return_proxy
