series,mean,std,skewness,excess_kurtosis,min,max,hill_tail_index_abs,jarque_bera_stat,jarque_bera_pvalue,q_0.01,q_0.05,q_0.1,q_0.5,q_0.9,q_0.95,q_0.99,var_0.01,es_0.01,var_0.05,es_0.05
sp500_return,0.0003146504683046016,0.010551229375306977,-0.6791443881505909,18.80854066533371,-0.204669,0.10789,2.982513629707377,218155.5500317199,0.0,-0.028746149999999998,-0.01565335,-0.0108187,0.000463,0.011182800000000003,0.015544449999999991,0.0271101,-0.028746149999999998,-0.04206655405405406,-0.01565335,-0.02449332157394844
dgs10_diff,2.646939052531538e-05,0.06690057198609466,-0.23262240328981554,8.39513208095439,-0.75,0.65,3.3755566068252896,43367.07076915066,0.0,-0.19,-0.1,-0.07,0.0,0.07,0.1,0.19,-0.19,-0.2638157894736842,-0.1,-0.15148514851485148
bond_return_proxy,-2.1175512420252405e-06,0.005352045758887571,0.23262240328981582,8.395132080954392,-0.052,0.06,3.3755566068252865,43367.07076915072,0.0,-0.0152,-0.008,-0.0056,-0.0,0.0056,0.008,0.0152,-0.0152,-0.020005128205128207,-0.008,-0.0118576112412178
