trial,objective,block_mean,block_min,block_max,noise_scale,sp500_noise_floor,dgs10_noise_multiplier,scale_jitter,mean_jitter,regime_radius,continuation_prob,tail_prob,dgs10_tick,profile,feature_mean_gap,feature_std_gap,feature_energy_distance,median_mahalanobis,median_robust_l2,min_mahalanobis_pvalue,outlier_rate_p05,median_nearest_feature_distance
0,9.737115781582924,63,3,126,0.021463248542165095,1.4498166209968358e-06,0.35,0.020848306329238064,0.062045339281530734,1260,0.4021114396843268,0.001,0.01,balanced,0.6758416676834591,0.5351612077756702,0.46794422830902294,1.0063218677794799,1.31172049403076,0.001557632398753894,1.0,0.6278755684071129
1,10.21914049883037,126,5,126,0.013173497678083033,3.486762287193842e-05,0.35,0.02390154008259945,0.001965526941363982,126,0.4140662116634364,0.001,0.01,balanced,0.7941754029908905,0.9695978601011087,0.6359504837599785,1.4288539678361347,1.7191307230259705,0.0,1.0,1.1402490492588073
